t_from,t_to,jaccard,spearman
10,20,0.6666666666666666,0.8906122448979591
20,40,0.6666666666666666,0.9314285714285714
40,60,0.5384615384615384,0.9105102040816325
60,80,0.5384615384615384,0.8724489795918368
80,100,0.42857142857142855,0.8945918367346937
10,100,0.3333333333333333,0.7097959183673468
20,100,0.42857142857142855,0.7958163265306122
40,100,0.42857142857142855,0.8068367346938774
60,100,0.3333333333333333,0.8353061224489795
