t_percent,full_n,full_at_risk_rate,full_recall,full_precision,full_pr_auc,full_roc_auc,active_n,active_at_risk_rate,active_recall,active_precision,active_pr_auc,active_roc_auc,withdrawn_already_gone
10,6489,0.52,0.7082,0.8032,0.8716,0.842,5566,0.441,0.6139,0.7199,0.7652,0.7911,923
20,6489,0.52,0.7651,0.8384,0.9073,0.88,5359,0.419,0.6536,0.7467,0.8021,0.8246,1130
40,6489,0.52,0.8095,0.9044,0.9473,0.9287,5052,0.384,0.6761,0.8194,0.8572,0.8788,1437
60,6489,0.52,0.8673,0.9298,0.9699,0.9591,4802,0.352,0.7436,0.8504,0.8993,0.9217,1687
80,6489,0.52,0.899,0.9589,0.9827,0.9768,4630,0.328,0.7831,0.9014,0.9303,0.951,1859
100,6489,0.52,0.9295,0.9736,0.9913,0.9889,4536,0.314,0.8405,0.9336,0.9601,0.9749,1953
